program_id,K,vars,spills,spill_cost_sum
cfg01_chain_simple.txt,1,3,0,0
cfg01_chain_simple.txt,2,3,0,0
cfg01_chain_simple.txt,3,3,0,0
cfg01_chain_simple.txt,4,3,0,0
cfg01_chain_simple.txt,5,3,0,0
cfg02_if_merge_light.txt,1,3,1,7
cfg02_if_merge_light.txt,2,3,0,0
cfg02_if_merge_light.txt,3,3,0,0
cfg02_if_merge_light.txt,4,3,0,0
cfg02_if_merge_light.txt,5,3,0,0
cfg03_loop_countdown_light.txt,1,2,1,18
cfg03_loop_countdown_light.txt,2,2,0,0
cfg03_loop_countdown_light.txt,3,2,0,0
cfg03_loop_countdown_light.txt,4,2,0,0
cfg03_loop_countdown_light.txt,5,2,0,0
cfg04_diamond_then_tail.txt,1,4,1,14
cfg04_diamond_then_tail.txt,2,4,0,0
cfg04_diamond_then_tail.txt,3,4,0,0
cfg04_diamond_then_tail.txt,4,4,0,0
cfg04_diamond_then_tail.txt,5,4,0,0
cfg05_two_stage_branch.txt,1,4,1,30
cfg05_two_stage_branch.txt,2,4,0,0
cfg05_two_stage_branch.txt,3,4,0,0
cfg05_two_stage_branch.txt,4,4,0,0
cfg05_two_stage_branch.txt,5,4,0,0
cfg06_loop_with_hot.txt,1,4,3,34
cfg06_loop_with_hot.txt,2,4,2,12
cfg06_loop_with_hot.txt,3,4,1,2
cfg06_loop_with_hot.txt,4,4,0,0
cfg06_loop_with_hot.txt,5,4,0,0
cfg07_if_else_reuse.txt,1,5,3,70
cfg07_if_else_reuse.txt,2,5,1,12
cfg07_if_else_reuse.txt,3,5,0,0
cfg07_if_else_reuse.txt,4,5,0,0
cfg07_if_else_reuse.txt,5,5,0,0
cfg08_loop_two_vars.txt,1,3,2,42
cfg08_loop_two_vars.txt,2,3,1,20
cfg08_loop_two_vars.txt,3,3,0,0
cfg08_loop_two_vars.txt,4,3,0,0
cfg08_loop_two_vars.txt,5,3,0,0
cfg09_branch_then_loop.txt,1,3,2,48
