program_id,var,degree,use_count,use_instr_count,live_range,spill_cost,K,label
cfg01_chain_simple.txt,t0,0,1,1,1,2,1,1
cfg01_chain_simple.txt,t1,0,1,1,1,2,1,1
cfg01_chain_simple.txt,t2,0,1,1,1,2,1,1
cfg01_chain_simple.txt,t0,0,1,1,1,2,2,1
cfg01_chain_simple.txt,t1,0,1,1,1,2,2,1
cfg01_chain_simple.txt,t2,0,1,1,1,2,2,1
cfg01_chain_simple.txt,t0,0,1,1,1,2,3,1
cfg01_chain_simple.txt,t1,0,1,1,1,2,3,1
cfg01_chain_simple.txt,t2,0,1,1,1,2,3,1
cfg01_chain_simple.txt,t0,0,1,1,1,2,4,1
cfg01_chain_simple.txt,t1,0,1,1,1,2,4,1
cfg01_chain_simple.txt,t2,0,1,1,1,2,4,1
cfg01_chain_simple.txt,t0,0,1,1,1,2,5,1
cfg01_chain_simple.txt,t1,0,1,1,1,2,5,1
cfg01_chain_simple.txt,t2,0,1,1,1,2,5,1
cfg02_if_merge_light.txt,c0,3,2,2,9,20,1,1
cfg02_if_merge_light.txt,x,1,1,1,6,7,1,0
cfg02_if_merge_light.txt,y,0,1,1,1,2,1,1
cfg02_if_merge_light.txt,c0,3,2,2,9,20,2,1
cfg02_if_merge_light.txt,x,1,1,1,6,7,2,1
cfg02_if_merge_light.txt,y,0,1,1,1,2,2,1
cfg02_if_merge_light.txt,c0,3,2,2,9,20,3,1
cfg02_if_merge_light.txt,x,1,1,1,6,7,3,1
cfg02_if_merge_light.txt,y,0,1,1,1,2,3,1
cfg02_if_merge_light.txt,c0,3,2,2,9,20,4,1
cfg02_if_merge_light.txt,x,1,1,1,6,7,4,1
cfg02_if_merge_light.txt,y,0,1,1,1,2,4,1
cfg02_if_merge_light.txt,c0,3,2,2,9,20,5,1
cfg02_if_merge_light.txt,x,1,1,1,6,7,5,1
cfg02_if_merge_light.txt,y,0,1,1,1,2,5,1
cfg03_loop_countdown_light.txt,acc,1,2,2,9,20,1,1
cfg03_loop_countdown_light.txt,i,1,2,2,8,18,1,0
cfg03_loop_countdown_light.txt,acc,1,2,2,9,20,2,1
cfg03_loop_countdown_light.txt,i,1,2,2,8,18,2,1
cfg03_loop_countdown_light.txt,acc,1,2,2,9,20,3,1
cfg03_loop_countdown_light.txt,i,1,2,2,8,18,3,1
cfg03_loop_countdown_light.txt,acc,1,2,2,9,20,4,1
cfg03_loop_countdown_light.txt,i,1,2,2,8,18,4,1
cfg03_loop_countdown_light.txt,acc,1,2,2,9,20,5,1
cfg03_loop_countdown_light.txt,i,1,2,2,8,18,5,1
cfg04_diamond_then_tail.txt,p,2,2,2,4,10,1,1
cfg04_diamond_then_tail.txt,q,1,2,2,6,14,1,0
cfg04_diamond_then_tail.txt,r,0,1,1,6,7,1,1
cfg04_diamond_then_tail.txt,s,0,1,1,1,2,1,1
cfg04_diamond_then_tail.txt,p,2,2,2,4,10,2,1
cfg04_diamond_then_tail.txt,q,1,2,2,6,14,2,1
cfg04_diamond_then_tail.txt,r,0,1,1,6,7,2,1
cfg04_diamond_then_tail.txt,s,0,1,1,1,2,2,1
cfg04_diamond_then_tail.txt,p,2,2,2,4,10,3,1
cfg04_diamond_then_tail.txt,q,1,2,2,6,14,3,1
cfg04_diamond_then_tail.txt,r,0,1,1,6,7,3,1
cfg04_diamond_then_tail.txt,s,0,1,1,1,2,3,1
cfg04_diamond_then_tail.txt,p,2,2,2,4,10,4,1
cfg04_diamond_then_tail.txt,q,1,2,2,6,14,4,1
cfg04_diamond_then_tail.txt,r,0,1,1,6,7,4,1
cfg04_diamond_then_tail.txt,s,0,1,1,1,2,4,1
cfg04_diamond_then_tail.txt,p,2,2,2,4,10,5,1
cfg04_diamond_then_tail.txt,q,1,2,2,6,14,5,1
cfg04_diamond_then_tail.txt,r,0,1,1,6,7,5,1
cfg04_diamond_then_tail.txt,s,0,1,1,1,2,5,1
cfg05_two_stage_branch.txt,t0,3,2,2,9,20,1,1
cfg05_two_stage_branch.txt,u0,1,3,3,9,30,1,0
cfg05_two_stage_branch.txt,v,0,1,1,6,7,1,1
cfg05_two_stage_branch.txt,w,0,1,1,1,2,1,1
cfg05_two_stage_branch.txt,t0,3,2,2,9,20,2,1
cfg05_two_stage_branch.txt,u0,1,3,3,9,30,2,1
cfg05_two_stage_branch.txt,v,0,1,1,6,7,2,1
cfg05_two_stage_branch.txt,w,0,1,1,1,2,2,1
cfg05_two_stage_branch.txt,t0,3,2,2,9,20,3,1
cfg05_two_stage_branch.txt,u0,1,3,3,9,30,3,1
